0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 9.986244019164792007e+02 3.289519496645928326e-02 1.248971780929294896e-04 2.681598674261280291e+00
3.000000000000000000e+00 9.444095481155516154e+02 4.528651256795905578e-02 1.304343200041005750e-04 3.079227333609925399e+00
4.000000000000000000e+00 8.924150948428863330e+02 4.242923237544654613e-02 1.174074714196608450e-04 2.954489699007248227e+00
5.000000000000000000e+00 8.531968743000733184e+02 3.077171924630097907e-02 9.663272893052944081e-05 2.572826544595774756e+00
6.000000000000000000e+00 8.259730390812327414e+02 1.847978353197469656e-02 7.649932344688639468e-05 2.115167721867310835e+00
7.000000000000000000e+00 8.082945053922043144e+02 1.009934844470369505e-02 6.173830136837576803e-05 1.686166954632534853e+00
8.000000000000000000e+00 7.973381424459900018e+02 6.030057710610718831e-03 5.385922256374202702e-05 1.337734915804469349e+00
9.000000000000000000e+00 7.917201755860925232e+02 4.559705032193835973e-03 5.245025564873473329e-05 1.083856997266328337e+00
1.000000000000000000e+01 7.900441441679414538e+02 3.969840841032701469e-03 5.625430197712904645e-05 9.237674581940950036e-01
1.100000000000000000e+01 7.909706218242175737e+02 3.452793278700802462e-03 6.383598781748047032e-05 8.455712601962882546e-01
1.200000000000000000e+01 7.951350124223354214e+02 2.965110124784557655e-03 7.401830274935697828e-05 8.326488484079384023e-01
1.300000000000000000e+01 8.006195663548082848e+02 2.682513885404687586e-03 8.595201594488434892e-05 8.612910311737934643e-01
1.400000000000000000e+01 8.073094730493696716e+02 2.663271881703543984e-03 9.913129838025489459e-05 9.078561051595188669e-01
1.500000000000000000e+01 8.141662151569646539e+02 2.825270130547795615e-03 1.132972683560193821e-04 9.617779293911392635e-01
1.600000000000000000e+01 8.228830100742010245e+02 3.058013559172447111e-03 1.283324463675278098e-04 1.021309778833006776e+00
1.700000000000000000e+01 8.333035505555651525e+02 3.364802668662773659e-03 1.441974152384598159e-04 1.081665374586290085e+00
1.800000000000000000e+01 8.443033099727838362e+02 3.781144475233434808e-03 1.608703762219310736e-04 1.140038066165820707e+00
1.900000000000000000e+01 8.566491395462068112e+02 4.354944475953959754e-03 1.783435675617726414e-04 1.199714164822863083e+00
2.000000000000000000e+01 8.687335799748723275e+02 5.107649085149784489e-03 1.966121011207585297e-04 1.256413301944467209e+00
